York Consulting – Information to aid learner decisions – November 2010,,,,,,,
  ,,,,,,,
"Q1 Summary : From the list below, please you can indicate how useful you would find the following information when making a decision about",,,,,,,
which provider and/or which course/programme of study to undertake?,,,,,,,
Base: All respondents,,,,,,,
,SUMMARY,,,,,,
,Description of course/programme (e.g. what subject/topics will be covered),"Location of where the course/programme takes place (e.g. college campus, location of provider)",How to get to the location of the course/programme by car,How to get to the location of the course/programme by public transport,Availability and cost of parking at the provider,The length of the course/programme (e.g. the number of months and years it lasts),The number of weekly hours of teaching on the course/programme
Sig. Level: 95%,a,b,c,d,e,f,g
The balance of coursework and exams on the course/programme,24,14,10,2,2,1,0,17,0,8,5,11
,2%,2%,3%,2%,4%,10%,0%,2%,0%,3%,2%,2%
The length of the course/programme (e.g. the number of months and years it lasts),22,14,6,3,1,1,0,16,1,7,4,11
,2%,2%,2%,4%,2%,10%,0%,2%,5%,2%,1%,2%
The number of weekly hours of teaching on the course/programme,15,8,6,1,1,0,0,12,1,4,5,6
,1%,1%,2%,1%,2%,0%,0%,1%,5%,1%,2%,1%
"A description of the facilities at the provider (e.g. IT, library, crèche/nursery, facilities for religious faiths)",13,7,5,1,1,0,1,10,0,4,4,5
,1%,1%,1%,1%,2%,0%,3%,1%,0%,1%,1%,1%
"Columns Tested: A,B - C,D,E,F,G,H - I,J,K",,,,,,,,,,,,
08/11/11                                                                                                                               Page 5,,,,,,,,,,,,
York Consulting – Information to aid learner decisions – November 2010,,,,,,,,,,,,
 ,,,,,,,,,,,,
Q1a : Which did you find the most useful?,,,,,,,,,,,,
Base: All those who said that at least one of the items from the list was useful,,,,,,,,,,,,
,,Parental social grade ,,Ethnicity ,,,,,,Region ,,
,Total,ABC1,C2DE,Asian or Asian British,Black or Black British,Chinese,Mixed,White,Other,North,Midlands,South
Sig. Level: 95%,,a,b,c,d,*e,f,g,*h,i,j,k
Sig. Level: 99%,,A,B,C,D,*E,F,G,*H,I,J,K
Total,1047,611,365,84,50,10,35,832,21,303,298,446
,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
How to get to the location of the course/programme by car,7,3,3,0,0,0,0,6,0,3,1,3
,1%,*%,1%,0%,0%,0%,0%,1%,0%,1%,*%,1%
Whether there would be any other costs of undertaking the course/programme (e.g. field or study trips),7,5,2,1,0,0,1,5,0,2,0,5
,1%,1%,1%,1%,0%,0%,3%,1%,0%,1%,0%,1%
Availability and cost of parking at the provider,6,1,3,1,1,0,0,3,1,2,2,2
,1%,*%,1%,1%,2%,0%,0%,*%,5%,1%,1%,*%
"Columns Tested: A,B - C,D,E,F,G,H - I,J,K",,,
08/11/11                                                                                                                               Page 6,,,
York Consulting – Information to aid learner decisions – November 2010,,,
 ,,,
Q1a : Which did you find the most useful?,,,
Base: All those who said that at least one of the items from the list was useful,,,
,,Disability ,
,Total,Yes,No
Sig. Level: 95%,,a,b
Sig. Level: 99%,,A,B
Total,1047,218,796
,100%,100%,100%
Description of course/programme (e.g. what subject/topics will be covered),706,145,542
,67%,67%,68%
The entry qualifications/requirements you would need to get on the course/programme,87,16,67
,8%,7%,8%
"Location of where the course/programme takes place (e.g. college campus, location of provider)",56,13,41
,5%,6%,5%
How much it would cost for you to do the course/programme,38,8,29
,4%,4%,4%
How to get to the location of the course/programme by public transport,33,9,24
,3%,4%,3%
Whether there would be any financial support available to you to pay for the course/programme,33,11,22
,3%,5%,3%
The balance of coursework and exams on the course/programme,24,2,19
,2%,1%,2%
The length of the course/programme (e.g. the number of months and years it lasts),22,3,19
,2%,1%,2%
The number of weekly hours of teaching on the course/programme,15,6,8
,1%,3%,1%
"A description of the facilities at the provider (e.g. IT, library, crèche/nursery, facilities for religious faiths)",13,2,11
,1%,1%,1%
How to get to the location of the course/programme by car,7,1,5
,1%,*%,1%
Whether there would be any other costs of undertaking the course/programme (e.g. field or study trips),7,1,5
,1%,*%,1%
"Columns Tested: A,B",,,
08/11/11                                                                                                                               Page 7,,,
York Consulting – Information to aid learner decisions – November 2010,,,
 ,,,
Q1a : Which did you find the most useful?,,,
Base: All those who said that at least one of the items from the list was useful,,,
,,Disability ,
,Total,Yes,No
Sig. Level: 95%,,a,b
Sig. Level: 99%,,A,B
Total,1047,218,796
,100%,100%,100%
Availability and cost of parking at the provider,6,1,4,,,,,,,,,,,
,1%,*%,1%,,,,,,,,,,,
"Columns Tested: A,B",,,,,,,,,,,,,,
08/11/11                                                                                                                               Page 8,,,,,,,,,,,,,,
York Consulting – Information to aid learner decisions – November 2010,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,
Q1a : Which did you find the most useful?,,,,,,,,,,,,,,
Base: All those who said that at least one of the items from the list was useful,,,,,,,,,,,,,,
,,Learning provider ,,,,,,,,,,,,
,Total,State 6th form,State school,Grammar,City academy,Private school,6th form college,FE college,HEI,Workplace,Training centre,Learndirect,Community centre,Other
